TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.mozilla.javascript.NativeJavaMethod,LINE,0.5267489711934157,243,130
org.mozilla.javascript.Sorting,LINE,1.0,56,56
org.mozilla.javascript.ScriptStackElement,LINE,1.0,31,31
org.mozilla.javascript.SymbolKey,LINE,1.0,13,11
org.mozilla.javascript.RhinoSecurityManager,LINE,0.8571428571428571,7,6
org.mozilla.javascript.IdScriptableObject,LINE,0.5625,512,296
org.mozilla.javascript.NativeObject,LINE,0.3426183844011142,359,123
org.mozilla.javascript.EcmaError,LINE,1.0,15,15
org.mozilla.javascript.ScriptableObject,LINE,0.6936416184971098,1040,750
org.mozilla.javascript.NativeCall,LINE,1.0,48,48
org.mozilla.javascript.NativeJavaTopPackage,LINE,0.7288135593220338,59,43
org.mozilla.javascript.EmbeddedSlotMap,LINE,0.959731543624161,149,143
org.mozilla.javascript.NativeGlobal,LINE,0.34748010610079577,377,132
org.mozilla.javascript.NativeContinuation,LINE,1.0,28,28
org.mozilla.javascript.NativeGenerator,LINE,0.7727272727272727,89,71
org.mozilla.javascript.DefaultErrorReporter,LINE,0.9166666666666666,24,22
org.mozilla.javascript.ObjToIntMap,LINE,0.861244019138756,209,178
org.mozilla.javascript.BaseFunction,LINE,0.8089430894308943,249,207
org.mozilla.javascript.IdFunctionObjectES6,LINE,1.0,20,20
org.mozilla.javascript.TokenStream,LINE,0.45825426944971537,1054,493
org.mozilla.javascript.NativeStringIterator,LINE,1.0,15,15
org.mozilla.javascript.optimizer.Block,LINE,0.6363636363636364,231,155
org.mozilla.javascript.optimizer.Codegen,LINE,0.5456110154905336,581,328
org.mozilla.javascript.optimizer.BodyCodegen,LINE,0.017061611374407582,2110,40
org.mozilla.javascript.optimizer.ClassCompiler,LINE,0.9791666666666666,48,48
org.mozilla.javascript.optimizer.Optimizer,LINE,0.3991031390134529,223,93
org.mozilla.javascript.optimizer.OptFunctionNode,LINE,0.8809523809523809,42,42
org.mozilla.javascript.optimizer.OptRuntime,LINE,1.0,91,89
org.mozilla.javascript.NativeFunction,LINE,0.782608695652174,23,18
org.mozilla.javascript.xml.XMLObject,LINE,0.0,6,0
org.mozilla.javascript.xml.XMLLib,LINE,0.6428571428571429,28,18
org.mozilla.javascript.jdk18.VMBridge_jdk18,LINE,1.0,3,3
org.mozilla.javascript.NativeDate,LINE,0.02753303964757709,908,25
org.mozilla.javascript.RhinoException,LINE,0.937007874015748,127,125
org.mozilla.javascript.Parser,LINE,0.36151736745886653,2188,839
org.mozilla.javascript.Node,LINE,0.8242811501597445,321,273
org.mozilla.javascript.ClassCache,LINE,1.0,41,41
org.mozilla.javascript.EvaluatorException,LINE,1.0,11,11
org.mozilla.javascript.FunctionObject,LINE,0.64,200,131
org.mozilla.javascript.jdk15.VMBridge_jdk15,LINE,0.5666666666666667,60,34
org.mozilla.javascript.TopLevel,LINE,1.0,37,37
org.mozilla.javascript.NativeJavaObject,LINE,0.6086956521739131,391,255
org.mozilla.javascript.NativeJavaConstructor,LINE,0.8571428571428571,7,7
org.mozilla.classfile.TypeInfo,LINE,0.9555555555555556,90,89
org.mozilla.classfile.ClassFileField,LINE,1.0,28,28
org.mozilla.classfile.ConstantEntry,LINE,1.0,21,21
org.mozilla.classfile.ExceptionTableEntry,LINE,1.0,6,6
org.mozilla.classfile.ByteCode,LINE,1.0,1,1
org.mozilla.classfile.ConstantPool,LINE,0.9396551724137931,232,224
org.mozilla.classfile.SuperBlock,LINE,1.0,59,59
org.mozilla.classfile.ClassFileWriter,LINE,0.3076923076923077,1417,484
org.mozilla.classfile.FieldOrMethodRef,LINE,1.0,20,20
